id,title,info,num_comments,num_votes,rating,time,difficulty,date,calories
101841041325765,Scharfe Tomaten-Erbsensuppe,Unbekannt,2,4,3.5,20,0,2005-01-05,Unbekannt
1018631207061215,Gewürzreis,Unbekannt,6,5,3.71,15,1,2008-04-01,Unbekannt
101881041435299,Zwiebel - Beignets,Unbekannt,1,1,3.33,15,0,2007-04-25,Unbekannt
101901041435926,Porreesalat,Unbekannt,17,28,4.4,205,0,2003-01-01,Unbekannt
101911041436321,Indischer Zitronenreis,Unbekannt,4,6,3.88,35,0,2003-01-05,Unbekannt
101941041501944,Scharfes indisches Schweinecurry,Unbekannt,5,6,4.0,80,2,2003-01-05,Unbekannt
1019891207215016,Bombardino,der Aprés Ski - Drink aus Italien,11,16,4.33,5,0,2008-04-03,Unbekannt
1020891207308294,Tomatensalat mit Honigmelone und Schafskäse,Unbekannt,131,238,4.54,15,0,2008-04-04,552
1020891207308294,Tomatensalat mit Honigmelone und Schafskäse,Unbekannt,131,238,4.54,15,0,2008-04-04,552
1020941207311518,Pasta aglio olio mit Rucola und Tomaten,Unbekannt,54,144,4.51,25,0,2008-04-04,Unbekannt
102111041523889,Feldsalat mit gebratenem Kürbis,Unbekannt,56,78,4.41,30,0,2003-01-05,154
102131041581798,Curry aus Wintergemüse und Erdnüssen,Unbekannt,30,26,3.86,50,1,2004-02-18,Unbekannt
1021441207323773,Tom Yam Goong (Gung),scharfe Garnelensuppemit Zitronengras,12,30,4.34,30,1,2008-04-04,Unbekannt
1023231207492699,Indisches Grießdessert (Kesari),Unbekannt,2,4,3.67,20,0,2008-04-06,Unbekannt
1023241207492838,Salat mit weißen Bohnen und Tomaten,italienische Vorspeise / Antipasto,46,78,4.54,20,0,2008-04-06,83
1023241207492838,Salat mit weißen Bohnen und Tomaten,italienische Vorspeise / Antipasto,46,78,4.54,20,0,2008-04-06,83
1024931207648502,Fruchtige Chilisauce,"scharf, aber total lecker ! Besonders zu Bratlingen!",6,11,4.38,20,1,2008-04-08,961
1025441207720439,Omas Eiersalat,diesen Salat hat meine Oma immer mit den übrig gebliebenen Ostereiern gemacht!,31,41,4.44,10,0,2008-04-09,266
1027471207907953,AJB,klingt ekelig - schmeckt aber super,8,11,4.08,1,0,2008-04-11,Unbekannt
1027641207921518,Nacho - Schicht - Salat,am Tag des Verzehres zubereiten!!,29,42,4.61,30,0,2008-04-11,Unbekannt
1027641207921518,Nacho - Schicht - Salat,am Tag des Verzehres zubereiten!!,29,42,4.61,30,0,2008-04-11,Unbekannt
1029001208105362,Schweinelende,"pikant, eigene Kreation",40,59,4.56,25,0,2008-04-14,705
1029801208179915,Wick Blau - Schnaps,richtig leckerer Schnaps nach dem Essen,25,23,4.36,5,0,2008-04-14,Unbekannt
1030211208236698,Gedünsteter Zwiebelrostbraten,Unbekannt,235,254,4.75,30,1,2008-04-15,Unbekannt
1030521208246623,Sächsischer Herings-Kartoffelsalat,wurde in Leipzig zu Weihnachten und Silvester fast immer gemacht,54,70,4.46,75,1,2008-04-15,Unbekannt
1031071208280926,Feldsalat mit Ziegenkäsebällchen im Walnussmäntelchen,Unbekannt,9,13,4.53,45,1,2008-04-15,Unbekannt
1031071208280926,Feldsalat mit Ziegenkäsebällchen im Walnussmäntelchen,Unbekannt,9,13,4.53,45,1,2008-04-15,Unbekannt
103161042038860,Putengeschnetzeltes mit Balsamico Sahnesoße,Unbekannt,162,307,4.52,15,0,2003-01-10,504
1031851208350994,Elsässer Wurstsalat,Wurst - Käse - Salat,29,43,4.42,15,0,2008-04-16,842
1032981208435830,Eier im Toastbrot mit Rosmarin - Butter,feines und schnelles Rezept nicht nur für Ostern,110,169,4.24,15,0,2008-04-17,354
1033211208442407,Tomaten-Auberginen-Avocado-Burger,vegetarisch und lecker,286,770,4.67,20,1,2008-04-17,Unbekannt
1033321208446022,Nudelauflauf mit Rahmspinat und Meatballs,Unbekannt,71,125,4.43,30,1,2008-04-18,952
1033321208446022,Nudelauflauf mit Rahmspinat und Meatballs,Unbekannt,71,125,4.43,30,1,2008-04-18,952
1033741208508759,Brittas Rindersteak mit Käse - Sauce,Unbekannt,40,69,4.3,15,1,2008-04-18,840
1033811208509719,Spanische Spieße,Unbekannt,142,225,4.59,30,0,2008-04-18,1639
1033931208517162,Häckerle nach Mamas Art,Unbekannt,20,18,4.4,30,0,2008-04-18,152
1033961208520095,Honig-Fleisch-Fackeln,Honigfleisch am Spieß - nach einer Idee vom letzten Mittelalterpanoptikum,154,313,4.42,30,0,2008-04-18,285
1034291208531047,Spargelspaghetti,Unbekannt,32,29,4.58,10,1,2008-04-19,1029
1034971208618963,Radieschensalat mit Zwiebeln und Apfel,Unbekannt,30,41,4.4,15,0,2008-04-19,97
103501042187802,Harvey Wallbanger,Unbekannt,1,2,3.75,2,0,2003-01-13,Unbekannt
103501042187802,Harvey Wallbanger,Unbekannt,1,2,3.75,2,0,2003-01-13,Unbekannt
1035621208703311,Eierlikör,der von Muttern,48,22,4.58,30,0,2008-04-21,Unbekannt
1035911208722171,Dreifrucht - Smoothie,"ein leckerer, erfrischender Drink aus Orange Kiwi und Banane",16,22,4.25,5,0,2008-04-21,153
103621042299597,"Grüne Bohnen mit Kasseler, geschmort",Unbekannt,96,130,4.56,30,1,2003-01-13,339
1037841208869881,Tortellinisalat mit Zucchini und Schinken,hervorragend für kalte Buffets oder zum Grillen,35,72,4.49,30,0,2008-04-22,Unbekannt
1038391208936958,Pekingsuppe,süß - sauer - scharf,154,245,4.48,50,1,2008-04-23,Unbekannt
1038751208956793,Weißes Gemüsecurry nach Sri - Lanka - Art,Elolu kiri hodhi,3,4,3.33,30,0,2008-04-23,Unbekannt
1038791208958724,Kartoffel-Curry mit Linsen,Unbekannt,13,44,4.3,25,1,2008-04-23,330
1038791208958724,Kartoffel-Curry mit Linsen,Unbekannt,13,44,4.3,25,1,2008-04-23,330
1039131209011542,Pekingsuppe à la Maylin,Schmeckt wie beim Chinesen,17,9,4.18,30,1,2008-04-24,Unbekannt
1040601209106842,Mauschkraut (Schichtkraut),wie aus der Schulküche zur DDR-Zeit,75,130,4.52,30,1,2008-04-25,432
1040671209110651,Ipanema-Bowle,alkoholfreie und leicht säuerliche Bowle,24,32,4.59,20,0,2008-04-25,Unbekannt
1040751209113170,Peach Tree,alkoholfreier Cocktail,5,5,3.86,5,0,2008-04-25,Unbekannt
1040761209113310,Multifruit,alkoholfreier Cocktail,2,3,3.2,5,0,2008-04-25,Unbekannt
1040781209113809,Green Cat,alkoholfreier Cocktail,2,3,3.0,5,0,2008-04-25,Unbekannt
1041541209142380,Winterlicher Feldsalat,Unbekannt,27,53,4.62,10,1,2008-04-26,Unbekannt
1042021209208474,Couscous - Salat mit Tomaten und Feta,Unbekannt,52,111,4.66,15,0,2008-04-26,Unbekannt
1042021209208474,Couscous - Salat mit Tomaten und Feta,Unbekannt,52,111,4.66,15,0,2008-04-26,Unbekannt
1042021209208474,Couscous - Salat mit Tomaten und Feta,Unbekannt,52,111,4.66,15,0,2008-04-26,Unbekannt
1042251209236572,Bhatura - Indisches Luftballonbrot,Unbekannt,11,8,3.7,15,1,2008-04-28,2104
1042911209283817,Thunfisch-Oliven-Täschchen,"mit Thunfisch, Oliven und Frischkäse gefüllte Blätterteigteilchen",115,208,4.49,35,1,2008-04-28,2636
1043141209290503,Gulab Jamun,indische frittierte süße Bällchen,4,5,3.43,30,0,2008-04-28,Unbekannt
1043921209361948,Tarka Dal,indisches Linsengericht,5,8,4.0,30,1,2008-04-28,Unbekannt
1044541209388802,Gnocchi aus dem Ofen in Paprika-Tomaten-Sauce,Unbekannt,449,0,4.47,20,1,2008-04-28,Unbekannt
1044791209447686,Blätterteig-Dreiecke mit Spinat und Feta,"einfach, lecker, schnell und ergiebig",205,462,4.48,30,1,2008-04-29,Unbekannt
1044791209447686,Blätterteig-Dreiecke mit Spinat und Feta,"einfach, lecker, schnell und ergiebig",205,462,4.48,30,1,2008-04-29,Unbekannt
1045051209456843,Hähnchen mit Zuckerschoten,"köstlich, asiatisch - scharf",10,18,4.25,20,1,2008-04-29,293
1045251209462585,Moussaka,mit Kartoffeln und Auberginen,266,521,4.6,60,1,2008-04-29,898
1045251209462585,Moussaka,mit Kartoffeln und Auberginen,266,521,4.6,60,1,2008-04-29,898
1045571209477233,Kochschinken selber machen,"genial zur Spargelzeit, mit Rind und Kalb noch delikater",95,63,4.63,60,0,2008-04-29,3396
1045691209479240,Mexikanische Burritos,Unbekannt,179,515,4.72,30,1,2008-04-29,Unbekannt
1045861209496580,Huhn in Tomaten - Zwiebel - Sauce,indisch (Murgh Masala),11,13,4.0,10,1,2008-06-26,Unbekannt
1047101209570503,Fischcurry mit Karpfen,Unbekannt,3,3,4.0,15,1,2008-04-30,Unbekannt
1047521209584940,Paprika - Dip mit wenig Aufwand,super zu Gegrilltem,42,83,4.52,15,0,2008-04-30,329
1047641209588578,Aurora,tolles Farbspiel,14,14,3.94,5,0,2008-05-02,Unbekannt
1047821209636544,Herzhafte Blätterteig - Gehacktes - Muffins,Eigenkreation - reicht für 12 Stück,77,104,4.55,30,0,2008-05-02,4610
1048081209713619,Mediterrane Gemüsepfanne mit Hähnchenbrustfilet,Unbekannt,94,246,4.63,30,1,2008-05-02,379
104841044347755,Chop Suey,Unbekannt,46,115,4.44,40,1,2003-02-06,Unbekannt
1048481209735028,Erdbeerlikör,diesmal heiß angesetzt,88,61,4.76,20,0,2008-05-03,877
1048781209814182,Thai-Chili-Sauce,scharf - fruchtig,17,23,4.56,30,0,2008-05-04,538
104901044365313,Brokkolisalat  (roh),Unbekannt,27,40,4.64,30,1,2003-02-06,519
104901044365313,Brokkolisalat  (roh),Unbekannt,27,40,4.64,30,1,2003-02-06,519
1049521209905815,Möhren-Ingwer-Suppe mit Kokosmilch,Unbekannt,63,120,4.6,15,0,2008-05-04,Unbekannt
1049981209974299,Bärlauchcremesuppe mit Croûtons und gebratener Chorizo,Unbekannt,18,31,4.52,20,1,2018-12-11,Unbekannt
1049981209974299,Bärlauchcremesuppe mit Croûtons und gebratener Chorizo,Unbekannt,18,31,4.52,20,1,2018-12-11,Unbekannt
1050031209975052,Bunter Sommersalat mit Putenbruststreifen und Caesars Dressing,Unbekannt,35,50,4.1,30,1,2018-12-11,Unbekannt
1050031209975052,Bunter Sommersalat mit Putenbruststreifen und Caesars Dressing,Unbekannt,35,50,4.1,30,1,2018-12-11,Unbekannt
1050031209975052,Bunter Sommersalat mit Putenbruststreifen und Caesars Dressing,Unbekannt,35,50,4.1,30,1,2018-12-11,Unbekannt
1050051209975231,Mediterraner Kartoffelsalat,Unbekannt,126,202,4.45,35,1,2018-12-11,Unbekannt
1050051209975231,Mediterraner Kartoffelsalat,Unbekannt,126,202,4.45,35,1,2018-12-11,Unbekannt
1050091209975677,Melone - Schinken Variationen,Unbekannt,3,7,3.78,30,1,2018-12-11,Unbekannt
1050121209976105,"Chicken Wrap mit Gemüse, Guacamole und Crème fraîche",Unbekannt,148,404,4.62,45,1,2018-12-11,454
1050161209976398,Papaya - Bananen - Smoothie,Unbekannt,14,20,4.14,15,1,2018-12-11,Unbekannt
1050161209976398,Papaya - Bananen - Smoothie,Unbekannt,14,20,4.14,15,1,2018-12-11,Unbekannt
1050171209976470,Entschlackender Mango - Kiwi Shake,Unbekannt,10,14,3.94,15,0,2018-12-11,215
1050181209976653,Bombay Crushed,Unbekannt,6,16,4.5,15,0,2018-12-11,262
1050181209976653,Bombay Crushed,Unbekannt,6,16,4.5,15,0,2018-12-11,262
1050251209977669,Nobeltje,Likör von Ameland,20,22,4.38,20,0,2008-05-05,Unbekannt
1050391209981859,Cassis - Sorbet,Unbekannt,7,2,3.5,15,0,2008-05-05,81
1050491209989925,Dänischer Gurkensalat,Unbekannt,561,837,4.51,15,0,2008-05-05,210
1050551210048241,Gulasch,besonders gut zu Spätzle,108,151,4.53,30,1,2008-05-06,543
1051191210075417,Kahlua,mexikanischer Kaffeelikör,61,58,4.67,10,0,2008-05-06,3504
105121044433192,Big Ben,Unbekannt,2,5,3.71,5,0,2003-02-06,Unbekannt
1051211210076505,Altmärkische Hochzeitssuppe,sehr lecker,20,36,4.45,90,1,2008-05-06,593
1053681210340190,"Gebratener grüner Spargel mit Cocktailtomaten, Balsamico und Kürbiskernöl",leckere Beilage zu kurz gebratenem Fleisch,105,147,4.63,20,0,2008-05-09,191
1053851210398289,Klare Ochsenschwanzsuppe,mein Star - Stück,56,47,4.65,90,2,2008-05-11,Unbekannt
1053851210398289,Klare Ochsenschwanzsuppe,mein Star - Stück,56,47,4.65,90,2,2008-05-11,Unbekannt
1054471210483552,Spargel in Basilikum-Spargel-Sauce,Unbekannt,87,157,4.5,20,1,2008-05-11,329
1054511210486367,Frühlingsrollen,aus dem Backofen,108,180,4.53,45,1,2008-05-11,Unbekannt
1054511210486367,Frühlingsrollen,aus dem Backofen,108,180,4.53,45,1,2008-05-11,Unbekannt
1054911210586548,Schnelle Lasagne,ohne Bechamelsauce,78,155,4.55,25,0,2008-05-13,827
1054971210598262,Sharon - Smoothie,"auch Kaki - Smoothie genannt - exotisch, für alle Sharonfrüchteliebhaber",11,20,4.23,5,0,2008-05-13,Unbekannt
105561044545532,Kokos - Fisch - Suppe,Thailändisch inspiriert,47,70,4.49,30,0,2003-02-07,Unbekannt
105561044545532,Kokos - Fisch - Suppe,Thailändisch inspiriert,47,70,4.49,30,0,2003-02-07,Unbekannt
1055961210832992,Marinierter Spargel-Erdbeersalat,mit Kresse und gerösteten Pinienkernen,43,90,4.54,30,1,2008-05-15,Unbekannt
1055961210832992,Marinierter Spargel-Erdbeersalat,mit Kresse und gerösteten Pinienkernen,43,90,4.54,30,1,2008-05-15,Unbekannt
1055961210832992,Marinierter Spargel-Erdbeersalat,mit Kresse und gerösteten Pinienkernen,43,90,4.54,30,1,2008-05-15,Unbekannt
1056641210921509,Indischer Gemüsereis mit Mandarinen,Unbekannt,24,32,3.62,20,0,2008-05-16,416
1057021210932043,Tonkatsu,Die japanische Version vom Wiener Schnitzel.,7,11,4.23,20,1,2008-05-16,Unbekannt
1057371211004344,Matjes Hausfrauen Art 'light',die fettarme Variante,38,51,4.43,15,0,2008-05-17,177
1057881211022161,Sonnenaufgang,Alkoholfreier Cocktail,12,22,4.46,3,0,2008-05-18,Unbekannt
1059411211261133,Kardamom Hühnchen,"scharf - würziges, indisches Geflügelgericht",6,8,3.7,15,0,2008-05-20,416
1060011211289393,Orangenwein,"leichter, spritiziger Aperitiv aus Frankreich, gut gekühlt serviert ein herrlicher Start für einen Grillabend",75,54,4.36,20,0,2008-05-20,4531
1060381211352452,Kai Tun - thailändisches gedämpftes Ei,in Thailand ein beliebtes Gericht für Kinder,11,13,4.27,5,0,2008-05-21,Unbekannt
1061421211444101,Nudel - Hackfleisch - Auflauf,Unbekannt,387,647,4.6,25,1,2008-05-22,1226
1061491211449145,Grünes Thai - Curry mit Huhn,Gaeng Kiau Wahn Gai - nach Dorry,17,14,4.19,60,2,2008-05-22,Unbekannt
1061751211455200,"Glasnudelsalat mit Schweinefleisch, Minze und Ingwer",Yam Woon Sen,6,8,4.2,35,1,2008-05-24,Unbekannt
1061831211457019,Pad Thai mit Garnelen,Unbekannt,6,13,4.27,40,1,2008-05-22,Unbekannt
1062461211548223,Schafskäse aus der Pfanne,Unbekannt,6,12,4.5,20,0,2008-05-23,Unbekannt
1062721211607839,Hähnchen - Mango - Curry,mild und aromatisch,125,226,4.48,25,1,2008-05-24,Unbekannt
1062721211607839,Hähnchen - Mango - Curry,mild und aromatisch,125,226,4.48,25,1,2008-05-24,Unbekannt
1062831211611655,Curry - Geschnetzeltes mit Ananas,Unbekannt,37,59,4.52,10,0,2008-05-24,409
1062991211619665,Majas eingelegter Feta,Unbekannt,10,12,4.5,15,0,2008-05-24,717
106321044787522,Käsesuppe,Unbekannt,126,262,4.58,20,1,2003-02-09,638
106321044787522,Käsesuppe,Unbekannt,126,262,4.58,20,1,2003-02-09,638
1063261211631087,Camparibowle,Campari - Maracuja - Bowle mit Pfirsiche,25,32,4.35,15,0,2008-05-24,Unbekannt
106551044866839,Ingwer - Soja - Sauce,Sauce zu japanischen Gerichten,5,11,4.38,15,0,2003-02-10,Unbekannt
1066811212153175,Schwedische Sommersuppe,Unbekannt,236,527,4.69,15,1,2008-05-31,323
1066811212153175,Schwedische Sommersuppe,Unbekannt,236,527,4.69,15,1,2008-05-31,323
1067621212299601,Indonesischer Fleischtopf,Unbekannt,8,18,4.2,30,1,2008-06-02,523
106871044961167,Kürbismarmelade mit Apfel und Vanille,Unbekannt,44,31,4.48,30,0,2003-02-11,Unbekannt
