recept,kategorija,mesto
101401041091958,24,3
101401041091958,31,4
101401041091958,49,5
101401041091958,50,6
101401041091958,56,7
101401041091958,58,8
101401041091958,116,9
101401041091958,140,10
1014141206617785,13,0
1014141206617785,14,1
1014141206617785,21,2
1014141206617785,48,3
1014141206617785,58,4
1014141206617785,137,5
1014141206617785,165,6
1014151206618007,16,0
1014151206618007,18,1
1014151206618007,21,2
1014151206618007,22,3
1014151206618007,24,4
1014151206618007,28,5
1014151206618007,29,6
1014151206618007,31,7
1014151206618007,34,8
1014151206618007,59,9
1014151206618007,144,10
1014391206632104,14,0
1014391206632104,21,1
1014391206632104,40,2
1014391206632104,41,3
1014391206632104,47,4
1014391206632104,50,5
1014391206632104,58,6
1014391206632104,76,7
1014391206632104,144,8
1015341206719001,16,0
1015341206719001,21,1
1015341206719001,22,2
1015341206719001,69,3
1015341206719001,79,4
1015341206719001,9947,5
1015341206719001,9948,6
1015411206728456,13,0
1015411206728456,14,1
1015411206728456,18,2
1015411206728456,21,3
1015411206728456,32,4
1015411206728456,57,5
1015411206728456,144,6
1015411206728456,165,7
1015461206734011,15,0
1015461206734011,15,0
1015461206734011,15,0
1015461206734011,18,1
1015461206734011,18,1
1015461206734011,18,1
1015461206734011,19,2
1015461206734011,19,2
1015461206734011,19,2
1015461206734011,20,3
1015461206734011,20,3
1015461206734011,20,3
1015461206734011,27,4
1015461206734011,27,4
1015461206734011,27,4
1015461206734011,28,5
1015461206734011,28,5
1015461206734011,28,5
1015461206734011,29,6
1015461206734011,29,6
1015461206734011,29,6
1015461206734011,32,7
1015461206734011,32,7
1015461206734011,32,7
1015461206734011,94,8
1015461206734011,94,8
1015461206734011,94,8
1015461206734011,124,9
1015461206734011,124,9
1015461206734011,124,9
1016351206822916,16,0
1016351206822916,18,1
1016351206822916,21,2
1016351206822916,58,3
1016351206822916,99,4
1016351206822916,138,5
1016351206822916,144,6
1016461206863675,13,0
1016461206863675,13,0
1016461206863675,14,1
1016461206863675,14,1
1016461206863675,18,2
1016461206863675,18,2
1016461206863675,21,3
1016461206863675,21,3
1016461206863675,49,4
1016461206863675,49,4
1016461206863675,50,5
1016461206863675,50,5
1016461206863675,61,6
1016461206863675,61,6
1016461206863675,116,7
1016461206863675,116,7
1016461206863675,9948,8
1016461206863675,9948,8
1016741206880450,11,0
1016741206880450,12,1
1016741206880450,49,2
1016741206880450,50,3
1016741206880450,101,4
1016841206888753,14,0
1016841206888753,18,1
1016841206888753,21,2
1016841206888753,48,3
1016841206888753,49,4
1016841206888753,50,5
1016841206888753,58,6
1016841206888753,116,7
1016841206888753,123,8
1017171206937378,14,0
1017171206937378,19,1
1017171206937378,21,2
1017171206937378,40,3
1017171206937378,42,4
1017171206937378,49,5
1017171206937378,50,6
1017171206937378,58,7
1017171206937378,123,8
1017171206937378,140,9
1017171206937378,144,10
1017621206972972,10,0
1017621206972972,11,1
1017621206972972,45,2
1017621206972972,49,3
1017621206972972,50,4
101841041325765,13,0
101841041325765,14,1
101841041325765,18,2
101841041325765,19,3
101841041325765,32,4
101841041325765,40,5
101841041325765,42,6
101841041325765,47,7
101841041325765,50,8
101841041325765,144,9
1018631207061215,13,0
1018631207061215,14,1
1018631207061215,36,2
1018631207061215,49,3
1018631207061215,50,4
1018631207061215,107,5
1018631207061215,3818,6
101881041435299,13,0
101881041435299,14,1
101881041435299,18,2
101881041435299,21,3
101881041435299,50,4
101881041435299,134,5
101901041435926,15,0
101901041435926,18,1
101901041435926,32,2
101901041435926,36,3
101901041435926,50,4
101901041435926,124,5
101911041436321,13,0
101911041436321,14,1
101911041436321,36,2
101911041436321,50,3
101911041436321,3818,4
101941041501944,13,0
101941041501944,14,1
101941041501944,21,2
101941041501944,59,3
101941041501944,66,4
1019891207215016,11,0
1019891207215016,49,1
1019891207215016,50,2
1019891207215016,64,3
1019891207215016,99,4
1019891207215016,142,5
1020891207308294,15,0
1020891207308294,15,0
1020891207308294,18,1
1020891207308294,18,1
1020891207308294,19,2
1020891207308294,19,2
1020891207308294,20,3
1020891207308294,20,3
1020891207308294,27,4
1020891207308294,27,4
1020891207308294,32,5
1020891207308294,32,5
1020891207308294,49,6
1020891207308294,49,6
1020891207308294,50,7
1020891207308294,50,7
1020891207308294,71,8
1020891207308294,71,8
1020891207308294,77,9
1020891207308294,77,9
1020891207308294,83,10
1020891207308294,83,10
1020891207308294,109,11
1020891207308294,109,11
1020891207308294,124,12
1020891207308294,124,12
1020891207308294,211,13
1020891207308294,211,13
1020941207311518,15,0
1020941207311518,18,1
1020941207311518,21,2
1020941207311518,24,3
1020941207311518,31,4
1020941207311518,34,5
1020941207311518,49,6
1020941207311518,50,7
1020941207311518,144,8
102111041523889,15,0
102111041523889,18,1
102111041523889,19,2
102111041523889,20,3
102111041523889,32,4
102111041523889,36,5
102111041523889,50,6
102111041523889,64,7
102111041523889,99,8
102111041523889,9947,9
102111041523889,9948,10
102131041581798,13,0
102131041581798,14,1
102131041581798,18,2
102131041581798,21,3
102131041581798,32,4
102131041581798,57,5
102131041581798,107,6
1021441207323773,14,0
1021441207323773,21,1
1021441207323773,40,2
1021441207323773,41,3
1021441207323773,48,4
1021441207323773,80,5
1021441207323773,81,6
1021441207323773,123,7
1021441207323773,144,8
1023231207492699,13,0
1023231207492699,14,1
1023231207492699,49,2
1023231207492699,50,3
1023231207492699,90,4
1023231207492699,144,5
1023231207492699,146,6
1023241207492838,15,0
1023241207492838,15,0
1023241207492838,18,1
1023241207492838,18,1
1023241207492838,19,2
1023241207492838,19,2
1023241207492838,20,3
1023241207492838,20,3
1023241207492838,28,4
1023241207492838,28,4
1023241207492838,29,5
1023241207492838,29,5
1023241207492838,32,6
1023241207492838,32,6
1023241207492838,49,7
1023241207492838,49,7
1023241207492838,50,8
1023241207492838,50,8
1023241207492838,57,9
1023241207492838,57,9
