id,title,num_votes,rating,url,time,difficulty,info
2507211393451534,Swimming Pool,14,4.44,https://www.chefkoch.de/rezepte/2507211393451534/Swimming-Pool.html,5,0,"Cocktail, alkoholfrei"
1854621300703281,Spekulatius Likör,119,4.51,https://www.chefkoch.de/rezepte/1854621300703281/Spekulatius-Likoer.html,10,0,Lecker!!!
2932321445548380,Hexenlikör,5,4.29,https://www.chefkoch.de/rezepte/2932321445548380/Hexenlikoer.html,10,0,Unbekannt
59731021882324,Mai Tai,28,4.23,https://www.chefkoch.de/rezepte/59731021882324/Mai-Tai.html,2,0,Unbekannt
541961151505565,Eierlikör nach DDR-Tradition,1624,4.84,https://www.chefkoch.de/rezepte/541961151505565/Eierlikoer-nach-DDR-Tradition.html,30,1,"der absolut weltbeste, leckerste, dickflüssigste Eierlikör"
1857691301034784,Bratapfellikör,86,4.74,https://www.chefkoch.de/rezepte/1857691301034784/Bratapfellikoer.html,5,0,erwärmt und mit Sahnehaube ein besonderer Genuß
39791013419984,Cinderella,23,4.24,https://www.chefkoch.de/rezepte/39791013419984/Cinderella.html,5,0,Unbekannt
125511053780163,Eierpunsch,232,4.59,https://www.chefkoch.de/rezepte/125511053780163/Eierpunsch.html,5,0,Unbekannt
1994811323120176,Muh-Muh Likör,32,4.62,https://www.chefkoch.de/rezepte/1994811323120176/Muh-Muh-Likoer.html,25,0,Unbekannt
1748421284128441,San Francisco,20,4.23,https://www.chefkoch.de/rezepte/1748421284128441/San-Francisco.html,5,0,erfrischender fruchtiger alkoholfreier Sommer - Cocktail
86171033890906,Erdbeerlimes,700,4.74,https://www.chefkoch.de/rezepte/86171033890906/Erdbeerlimes.html,30,0,Unbekannt
1303271235391801,Engelchenlikör,587,4.71,https://www.chefkoch.de/rezepte/1303271235391801/Engelchenlikoer.html,30,0,schmeckt wie flüssiges Marzipan
51231018085747,Caipirinha-Bowle,1013,4.71,https://www.chefkoch.de/rezepte/51231018085747/Caipirinha-Bowle.html,20,0,Unbekannt
491781143442010,Holunderblütensirup,208,4.7,https://www.chefkoch.de/rezepte/491781143442010/Holunderbluetensirup.html,30,0,Unbekannt
91171035473718,Holunderblütensirup à la Mama,149,4.65,https://www.chefkoch.de/rezepte/91171035473718/Holunderbluetensirup-a-la-Mama.html,30,1,Unbekannt
3116971464687374,Pink Lemonade,15,4.59,https://www.chefkoch.de/rezepte/3116971464687374/Pink-Lemonade.html,25,0,herb-fruchtige Citrus-Himbeer Limo
2826581434709764,Grüner Smoothie,84,4.58,https://www.chefkoch.de/rezepte/2826581434709764/Gruener-Smoothie.html,10,0,Unbekannt
1096671215675259,Hugo,194,4.58,https://www.chefkoch.de/rezepte/1096671215675259/Hugo.html,5,0,erfrischendes Sommergetränk - heißt wirklich so
483901142444379,Die Erdbeerbowle mit dem sagenhaften Aroma,104,4.58,https://www.chefkoch.de/rezepte/483901142444379/Die-Erdbeerbowle-mit-dem-sagenhaften-Aroma.html,20,0,der absolute Partyknüller im Frühsommer
28421007046810,Feuerzangenbowle,60,4.58,https://www.chefkoch.de/rezepte/28421007046810/Feuerzangenbowle.html,20,0,Unbekannt
3078621460541224,Nektarinen-Weintrauben-Smoothie,14,4.56,https://www.chefkoch.de/rezepte/3078621460541224/Nektarinen-Weintrauben-Smoothie.html,10,0,Unbekannt
1911801311601221,Grüner Smoothie,152,4.56,https://www.chefkoch.de/rezepte/1911801311601221/Gruener-Smoothie.html,5,0,Unbekannt
