recept,sestavina
1010271206175483,"Dill, gehackt"
1010271206175483,"Dill, gehackt"
1010271206175483,Fisch (Edle Matjes Filets Aalrauch wenn möglich)
1010271206175483,Fisch (Edle Matjes Filets Aalrauch wenn möglich)
1010271206175483,"Knoblauchzehe(n), besser nur ein Hauch, wer mag"
1010271206175483,"Knoblauchzehe(n), besser nur ein Hauch, wer mag"
1010271206175483,Kümmelpulver 
1010271206175483,Kümmelpulver 
1010271206175483,Meerrettich (Sahnemeerrettich)
1010271206175483,Meerrettich (Sahnemeerrettich)
1010271206175483,"Petersilie, gehackt"
1010271206175483,"Petersilie, gehackt"
1010271206175483,"Rettich(e), runde weiße Rettiche, fein gestiftelt,"
1010271206175483,"Rettich(e), runde weiße Rettiche, fein gestiftelt,"
1010271206175483,Salatgurke(n) mit Schale für die Optik
1010271206175483,Salatgurke(n) mit Schale für die Optik
1010271206175483,Salz und Pfeffer 
1010271206175483,Salz und Pfeffer 
1010271206175483,"Schnittlauch, in Röllchen"
1010271206175483,"Schnittlauch, in Röllchen"
1010271206175483,Senf (Dijonsenf)
1010271206175483,Senf (Dijonsenf)
1010271206175483,Tomate(n) 
1010271206175483,Tomate(n) 
1010271206175483,Zucker 
1010271206175483,Zucker 
1010271206175483,"saure Sahne, es braucht nicht mehr"
1010271206175483,"saure Sahne, es braucht nicht mehr"
1010341206179158,"Zitrone(n), große unbehandelte"
1010341206179158,Zitronensäure 
1010341206179158,Zucker 
101131040827804,Butterschmalz 
101131040827804,Chilipulver 
101131040827804,"Chilischote(n), grün, längs geteilt"
101131040827804,"Chilischote(n), rot, längs geteilt"
101131040827804,Gewürzmischung (Garam Masala)
101131040827804,"Ingwer, fein gerieben"
101131040827804,"Kartoffel(n), sehr klein"
101131040827804,Koriander 
101131040827804,Kurkuma 
101131040827804,Salz 
101131040827804,"Tomate(n), geviertelt"
101131040827804,Wasser 
101131040827804,Zucker 
101131040827804,"Zwiebel(n), geviertel"
101131040827804,"Zwiebel(n), in feine Scheiben geschnitten"
1011371206295010,Eis (Crushed Ice)
1011371206295010,Likör (Kalhua)
1011371206295010,"Rum, weißer"
1011371206295010,Saft (Bananensaft)
1011371206295010,Sahne 
1011391206296527,Ananassaft 
1011391206296527,Baileys Irish Cream 
1011391206296527,Eis (Crushed Ice)
1011391206296527,"Rum (Kokosrum), z. b. Malibu"
1011391206296527,Saft (Bananensaft)
1011391206296527,Sahne 
1011401206296651,Eierlikör 
1011401206296651,Likör (Kalhua)
1011401206296651,Likör (Likör 43)
1011401206296651,Milch 
1011401206296651,Sahne 
1011541206342841,Brokkoliröschen 
1011541206342841,"Chilisauce, süße"
1011541206342841,"Chilischote(n), rot, fein gehackt"
1011541206342841,Hähnchenbrustfilet(s) 
1011541206342841,"Ingwer, fein gehackt"
1011541206342841,"Knoblauchzehe(n), fein gehackt"
1011541206342841,"Lauchzwiebel(n), in Röllchen geschnitten"
1011541206342841,"Paprikaschote(n), bunte, gewürfelt"
1011541206342841,Pflaumensauce 
1011541206342841,Salz und Pfeffer 
1011541206342841,Sesamöl 
1011541206342841,"Sojasauce, dunkle"
1011541206342841,Speisestärke (mit 2 TL Wasser verrührt)
1011541206342841,"Weißwein, trocken"
1012021206369953,Crème de Cassis 
1012021206369953,"Gin, gute Qualität"
1012021206369953,"Limettensaft, frisch gepresst"
101261041001067,Gewürz(e) (Suppenwürze)
101261041001067,Salz und Pfeffer 
101261041001067,"Schinken, in Streifen"
101261041001067,Schlagsahne 
101261041001067,"Zucchini, in Streifen"
101261041001067,"Zwiebel(n), in Würfel"
1012891206517466,Basilikum 
1012891206517466,Fleischbrühe (ggf. etwas mehr)
1012891206517466,Hackfleisch vom Rind
1012891206517466,Knoblauchzehe(n) 
1012891206517466,Majoran 
1012891206517466,Möhre(n) 
1012891206517466,Olivenöl 
1012891206517466,Oregano 
1012891206517466,"Paprikapulver, edelsüß"
1012891206517466,Salz und Pfeffer 
1012891206517466,Speck 
1012891206517466,Staudensellerie 
1012891206517466,Thymian 
1012891206517466,"Tomate(n) (Passati, passierte)"
1012891206517466,"Tomate(n) (Pelati, geschälte aus der Dose)"
1012891206517466,Tomatenmark 
1012891206517466,"Wein, rot"
1012891206517466,"Wurst (Salsiccia,alternativ frische grobe Bratwurst)"
1012891206517466,Zucker 
1012891206517466,Zwiebel(n) 
101321041070979,Ei(er) 
101321041070979,Mayonnaise 
101321041070979,Pfeffer 
101321041070979,Salz 
101321041070979,Senf 
101321041070979,Zucker 
1013371206537005,Essig (Rotweinessig)
1013371206537005,"Honig, flüssiger"
1013371206537005,Karotte(n) 
1013371206537005,"Knoblauchzehe(n), fein gehackt"
1013371206537005,Olivenöl 
1013371206537005,Salz und Pfeffer 
1013371206537005,Senf (Dijon-Senf)
1013371206537005,Sesam 
1013771206602221,"Cashewnüsse, geröstet, ungesalzen"
1013771206602221,Chilischote(n) nach Belieben
1013771206602221,"Frühlingszwiebel(n), klein geschnitten"
1013771206602221,"Hühnerbrüste, in Streifen geschnitten"
1013771206602221,"Knoblauchzehe(n), durchgepresst"
1013771206602221,Mehl 
1013771206602221,Sojasauce 
1013771206602221,chinesische Eiernudeln 
1013771206602221,Öl (Sesamöl)
1013941206608589,"Apfel, großzügig gewürfelter"
1013941206608589,"Apfel, großzügig gewürfelter"
1013941206608589,Dicksaft (Agavendicksaft) oder Rohrzucker
1013941206608589,Dicksaft (Agavendicksaft) oder Rohrzucker
1013941206608589,Ghee 
1013941206608589,Ghee 
1013941206608589,"Haferflocken oder Dinkelflocken, 5-Korn-Mix bzw. Gerstenflocken"
1013941206608589,"Haferflocken oder Dinkelflocken, 5-Korn-Mix bzw. Gerstenflocken"
1013941206608589,"Ingwer, geriebener, bei Bedarf"
1013941206608589,"Ingwer, geriebener, bei Bedarf"
1013941206608589,"Nüsse (z.B. Mandeln, Sonnenblumenkerne o.ä.)"
1013941206608589,"Nüsse (z.B. Mandeln, Sonnenblumenkerne o.ä.)"
1013941206608589,Rosinen 
1013941206608589,Rosinen 
1013941206608589,Wasser 
1013941206608589,Wasser 
1013941206608589,Zimt 
1013941206608589,Zimt 
101401041091958,"Basilikum, frisch"
101401041091958,"Blattspinat, frisch"
101401041091958,Champignons 
101401041091958,Curry 
101401041091958,Currypulver 
101401041091958,Frühlingszwiebel(n) 
101401041091958,Glasnudeln 
101401041091958,Huhn 
101401041091958,"Hühnerbrühe (Hühnersuppe), klare"
101401041091958,"Ingwer, frisch, fein gehackt"
101401041091958,Karotte(n) 
101401041091958,Knoblauch 
101401041091958,"Kokosmilch, ungesüßte"
101401041091958,Mu-Err-Pilze 
101401041091958,"Paprikaschote(n), rote "
101401041091958,Salz 
101401041091958,Sojasauce 
101401041091958,Sojasauce 
101401041091958,Stärkemehl 
101401041091958,"Zitrone(n), Abrieb davon"
101401041091958,Zitronensaft 
101401041091958,Öl 
1014141206617785,Butter 
1014141206617785,Curry 
1014141206617785,Geflügelbrühe 
1014141206617785,Hähnchenbrustfilet(s) oder Poulardenbrustfilet
1014141206617785,Knoblauchzehe(n) 
1014141206617785,"Linsen, rote"
1014141206617785,"Paprikapulver, rosenscharf"
1014141206617785,Salz und Pfeffer 
1014141206617785,Semmelbrösel 
1014141206617785,"Tomate(n), getrocknete"
1014141206617785,Worcestersauce 
1014141206617785,Öl (Sonnenblumenöl)
1014151206618007,Gemüsebrühe 
1014151206618007,"Knoblauch, gehackter"
1014151206618007,"Kräuter, italienische"
1014151206618007,Lorbeerblätter 
1014151206618007,Milch 
1014151206618007,Nudeln nach Wahl
1014151206618007,Olivenöl 
1014151206618007,"Pfeffer, gemahlener"
1014151206618007,Rinderhackfleisch 
1014151206618007,"Rotwein, trockener"
1014151206618007,"Schinken, gewürfelter"
1014151206618007,"Suppengrün, fein gewürfeltes"
1014151206618007,Tomate(n) 
1014151206618007,Tomatenmark 
1014151206618007,"Zwiebel(n), fein gewürfelte"
1014391206632104,Bambussprosse(n) 
1014391206632104,Ei(er) 
1014391206632104,"Essig, z. B. Weinessig, kein Apfelessig"
1014391206632104,Hühnerschenkel 
1014391206632104,Ingwer 
1014391206632104,Karotte(n) 
1014391206632104,"Morcheln, getrocknete"
1014391206632104,Salz 
1014391206632104,Sojasauce 
1014391206632104,Stärkemehl 
1014391206632104,Wasser 
1014391206632104,Zucker 
1015341206719001,"Brötchen, altbackenes"
1015341206719001,Hackfleisch (Rind)
1015341206719001,"Knoblauchzehe(n), klein gewürfelte"
1015341206719001,Kümmel 
1015341206719001,"Paprikapulver, edelsüß"
1015341206719001,Salz und Pfeffer 
1015341206719001,"Senf, scharfer"
1015341206719001,"Zwiebel(n), klein gewürfelte"
1015341206719001,Öl 
1015411206728456,"Currypulver, mittelscharf"
1015411206728456,Erbsen (TK)
1015411206728456,"Ingwer, geschält"
1015411206728456,"Kartoffel(n), gewürfelt"
1015411206728456,"Knoblauchzehe(n), zerdrückt"
1015411206728456,"Koriandergrün, frisch gehackt"
1015411206728456,Pflanzenöl 
1015411206728456,Salz 
1015411206728456,Tomatenmark 
1015411206728456,"Zwiebel(n), in Streifen geschnitten"
1015461206734011,Cocktailtomaten 
1015461206734011,Cocktailtomaten 
1015461206734011,Cocktailtomaten 
1015461206734011,Nudeln 
1015461206734011,Nudeln 
1015461206734011,Nudeln 
1015461206734011,Oliven 
1015461206734011,Oliven 
1015461206734011,Oliven 
1015461206734011,Parmesan 
1015461206734011,Parmesan 
1015461206734011,Parmesan 
1015461206734011,Pinienkerne 
1015461206734011,Pinienkerne 
1015461206734011,Pinienkerne 
1015461206734011,Rucola 
1015461206734011,Rucola 
1015461206734011,Rucola 
1015461206734011,"Tomate(n), getrocknete, in Öl"
1015461206734011,"Tomate(n), getrocknete, in Öl"
1015461206734011,"Tomate(n), getrocknete, in Öl"
1016351206822916,Butter 
1016351206822916,"Chili, getrocknet, gehackt"
1016351206822916,Currypulver 
1016351206822916,Honig 
1016351206822916,Hähnchenbrustfilet(s) 
1016351206822916,Kartoffel(n) 
1016351206822916,"Mandel(n), gehobelt"
1016351206822916,"Paprikapulver, edelsüß"
1016351206822916,Rosenkohl 
1016351206822916,Sahne 
1016351206822916,"Salz und Pfeffer, weißer"
1016461206863675,Ananasstücke 
1016461206863675,Ananasstücke 
1016461206863675,Curry 
1016461206863675,Curry 
1016461206863675,Fischfilet(s) 
1016461206863675,Fischfilet(s) 
1016461206863675,Gemüsebrühepulver 
1016461206863675,Gemüsebrühepulver 
1016461206863675,Karotte(n) 
1016461206863675,Karotte(n) 
1016461206863675,Kokosmilch 
1016461206863675,Kokosmilch 
1016461206863675,Lauch 
1016461206863675,Lauch 
1016461206863675,Salz und Pfeffer 
1016461206863675,Salz und Pfeffer 
1016461206863675,Schmand 
1016461206863675,Schmand 
1016741206880450,"Angostura, bitter"
1016741206880450,"Eis, gewürfeltes"
1016741206880450,Mineralwasser 
1016741206880450,Zitrone(n) - Scheibe
1016741206880450,Zitronenlimonade 
1016841206888753,Austernsauce 
1016841206888753,"Cashewnüsse, ungesalzen, geröstet"
1016841206888753,"Chilischote(n), rote, getrocknete, 1 cm groß gestückelt"
1016841206888753,Erdnussöl oder Maisöl
1016841206888753,"Frühlingszwiebel(n), nur das Weiße davon, 5 cm groß gestückelt"
1016841206888753,"Hähnchenbrustfilet(s), in Scheiben geschnitten"
1016841206888753,"Knoblauch, gehackter"
1016841206888753,Mehl zum Wenden
1016841206888753,"Sojasauce, dunkle"
1016841206888753,"Sojasauce, helle"
1016841206888753,Zucker 
1016841206888753,"Zwiebel(n), in Scheiben geschnitten"
1017171206937378,"Austernpilze, frische, geputzte"
1017171206937378,"Chilischote(n), rote, frische"
1017171206937378,Fischsauce 
1017171206937378,"Galgant (Ka), in dünne Scheiben geschnitten"
1017171206937378,"Hähnchenbrustfilet(s), quer in 5 mm dicke Scheiben geschnitten"
1017171206937378,"Kaffir-Limettenblätter, in kleine Stücke zerzupft"
1017171206937378,"Kokosmilch, dünne"
1017171206937378,"Koriandergrün, in 2 cm große Stück gezupft"
1017171206937378,Limettensaft oder Zitronensaft
1017171206937378,Salz 
1017171206937378,"Schalotte(n), fein gehackte"
1017171206937378,"Zitronengras, 2 cm groß gestückelt"
1017621206972972,Cola 
1017621206972972,"Eis, gewürfeltes"
1017621206972972,Fanta 
1017621206972972,Orangensaft mit Fruchtfleisch
1017621206972972,Red Bull 
1017621206972972,Wodka 
101841041325765,Butterschmalz oder Ghee
101841041325765,"Chilischote(n), grün, entkernt und in Scheiben geschnitten"
101841041325765,"Erbsen, TK "
101841041325765,Fenchelsamen 
101841041325765,"Knoblauch, zerdrückt"
101841041325765,Kokosmilch 
101841041325765,Korianderpulver 
101841041325765,Kreuzkümmelpulver 
101841041325765,Lorbeerblätter 
101841041325765,"Minze, frisch, gehackt"
101841041325765,"Pfeffer, gemahlen"
101841041325765,"Tomate(n), klein geschnitten"
101841041325765,Wasser 
101841041325765,Zucker 
101841041325765,"Zwiebel(n), in dünne Scheiben geschnitten"
1018631207061215,Basmati 
1018631207061215,"Gewürzmischung, (Garam Masala)"
1018631207061215,Gewürznelke(n) 
1018631207061215,"Ghee, o. Öl"
1018631207061215,Ingwerpulver 
1018631207061215,Kardamomkapsel(n) 
1018631207061215,"Knoblauchzehe(n), zerdrückt"
1018631207061215,Kurkuma 
1018631207061215,Sultaninen 
1018631207061215,Wasser 
1018631207061215,"Zwiebel(n), gehackt"
101881041435299,Backpulver 
101881041435299,Cayennepfeffer 
101881041435299,Ei(er) 
101881041435299,Kichererbsen - Mehl
101881041435299,Knoblauch 
101881041435299,Mehl (Weizenmehl)
101881041435299,Zwiebel(n) 
101881041435299,"Öl, zum Braten"
101901041435926,Ananas 
101901041435926,"Ei(er), gekocht"
101901041435926,Miracel Whip 
101901041435926,Porree 
101901041435926,"Sellerie, in dünnen Streifen"
101901041435926,Äpfel 
101911041436321,Butterschmalz (Ghee)
101911041436321,"Cashewnüsse, gehackte und geröstete  oder Mandeln"
101911041436321,"Chilischote(n), grüne, entkernt und gehackt"
101911041436321,Curryblätter 
101911041436321,Kokosraspel 
101911041436321,Kurkuma 
101911041436321,Milch oder Kokosmilch
101911041436321,Reis (weißer Langkornreis)
101911041436321,Senfkörner 
101911041436321,Wasser 
101911041436321,Zitrone(n) 
101941041501944,Bockshornklee 
101941041501944,Butterschmalz (Ghee)
101941041501944,"Chilischote(n), getrocknete rote, entkernt"
101941041501944,Gewürznelke(n) 
101941041501944,"Ingwer, fein gehackt"
101941041501944,Kardamom - Kapseln
101941041501944,"Knoblauch, zerdrückt"
101941041501944,Koriander 
101941041501944,Kreuzkümmel 
101941041501944,Lorbeerblätter 
101941041501944,Naturjoghurt 
101941041501944,"Pfeffer - Körner, schwarze"
101941041501944,Schweinefleisch (Schweineschulter oder Schweinshaxe)
101941041501944,Senfkörner 
101941041501944,Tamarindenpaste 
101941041501944,Zimt 
101941041501944,"Zwiebel(n), gerieben"
101941041501944,"Zwiebel(n), in sehr feine Streifen geschnitten"
1019891207215016,Brandy oder Weinbrand
1019891207215016,Eierlikör 
1019891207215016,"Milch, heiße"
1019891207215016,Rohrzucker 
1019891207215016,Schlagsahne 
1019891207215016,Whisky 
1019891207215016,Zimt 
1020891207308294,"Balsamico, heller "
1020891207308294,"Balsamico, heller "
1020891207308294,Frühlingszwiebel(n) 
1020891207308294,Frühlingszwiebel(n) 
1020891207308294,Honig 
1020891207308294,Honig 
1020891207308294,Honig 
1020891207308294,Honig 
1020891207308294,Honigmelone(n) 
1020891207308294,Honigmelone(n) 
1020891207308294,Pflanzenöl 
1020891207308294,Pflanzenöl 
1020891207308294,Salz und Pfeffer 
1020891207308294,Salz und Pfeffer 
1020891207308294,Schafskäse 
1020891207308294,Schafskäse 
1020891207308294,Toastbrot 
1020891207308294,Toastbrot 
1020891207308294,Tomate(n) 
1020891207308294,Tomate(n) 
1020941207311518,Cherrytomate(n) 
1020941207311518,"Chilischote(n), getrocknete"
1020941207311518,Knoblauch 
1020941207311518,Olivenöl 
1020941207311518,"Parmesan, geriebener"
1020941207311518,Rucola 
1020941207311518,Spaghetti 
102111041523889,"Essig, z.B. Balsamico-Essig"
102111041523889,Feldsalat 
102111041523889,"Käse, z.B. Feta-Schafskäse"
102111041523889,"Kürbisfleisch, z.B. Hokkaido"
102111041523889,"Kürbiskerne, gehackt"
102111041523889,Meersalz 
102111041523889,Pfeffer 
102111041523889,Zwiebel(n) 
102111041523889,Öl (Kürbiskernöl)
102111041523889,"Öl, Olivenöl"
102131041581798,"Apfel, säuerlich"
102131041581798,Cayennepfeffer 
102131041581798,Curry 
102131041581798,"Erdnüsse, ohne braune Häutchen"
102131041581798,Gemüsebrühe 
102131041581798,Knollensellerie 
102131041581798,Meersalz 
102131041581798,Möhre(n) 
102131041581798,Reis 
102131041581798,Sahne (für Veganer Sojasahne)
102131041581798,Wirsing 
102131041581798,Zitronensaft 
102131041581798,Zwiebel(n) 
102131041581798,"Öl, (Olivenöl)"
1021441207323773,"Chilipaste, mit Sojabohnen-Öl (Nam Prick Pau - Asialaden)"
1021441207323773,"Chilischote(n) (sehr scharf), in feine Röllchen"
1021441207323773,Fischsauce 
1021441207323773,Galgant (ca. 5 cm)
1021441207323773,Garnele(n) 
1021441207323773,"Gewürzpaste, (Tom Yum Paste)"
1021441207323773,"Kaffir-Limettenblätter, halbieren und kurz klopfen"
1021441207323773,Kokosmilch 
1021441207323773,"Koriandergrün, Blätter zerrupft"
